station_id,station_group_id,name_ru,name_en,line_id,line_name_ru,line_name_en,starts_with_vowel,starts_with_consonant,ends_with_vowel,ends_with_consonant,starts_and_ends_same_letter,contains_soft_sign,contains_yo,contains_hyphen,contains_letter_a,contains_letter_be,contains_letter_ve,contains_letter_ge,contains_letter_de,contains_letter_e,contains_letter_yo,contains_letter_zhe,contains_letter_ze,contains_letter_i,contains_letter_short_i,contains_letter_ka,contains_letter_el,contains_letter_em,contains_letter_en,contains_letter_o,contains_letter_pe,contains_letter_er,contains_letter_es,contains_letter_te,contains_letter_u,contains_letter_ef,contains_letter_ha,contains_letter_tse,contains_letter_che,contains_letter_sha,contains_letter_shcha,contains_letter_y,contains_letter_soft_sign,contains_letter_e_reverse,contains_letter_yu,contains_letter_ya,word_count_1,word_count_2,word_count_3,contains_name,contains_street,contains_avenue,contains_boulevard,contains_square,contains_park,line_1_sokolnicheskaya,line_2_zamoskvoretskaya,line_3_arbatsko_pokrovskaya,line_4_filyovskaya,line_5_koltsevaya,line_6_kaluzhsko_rizhskaya,line_7_tagansko_krasnopresnenskaya,line_8_kalininskaya_solntsevskaya,line_9_serpukhovsko_timiryazevskaya,line_10_lyublinsko_dmitrovskaya,line_11_bolshaya_koltsevaya,line_12_butovskaya,line_13_monorail,line_14_moscow_central_circle,line_15_nekrasovskaya,line_16_troitskaya,is_transfer_station,is_non_transfer_station,same_name_station_group,single_line_station_group,has_mcc_transfer,has_koltsevaya_transfer,has_big_circle_line_transfer,opened_before_1950,opened_1950s,opened_1960s,opened_1970s,opened_1980s,opened_1990s,opened_2000s,opened_2010s,opened_2020s,opened_soviet_era,opened_post_soviet,opened_21st_century,opened_after_2010,opened_after_2020,shallow_station,surface_or_ground_level_station,station_type_column_double_span,station_type_column_triple_span,station_type_column_triple_vault,station_type_elevated,station_type_elevated_open,station_type_pylon_triple_vault,station_type_single_vault_shallow,station_type_surface,station_type_surface_open,has_fossils
bulvar_rokossovskogo__line_1,bulvar_rokossovskogo,Бульвар Рокоссовского,Bulvar Rokossovskogo,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
cherkizovskaya__line_1,cherkizovskaya,Черкизовская,Cherkizovskaya,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
preobrazhenskaya_ploshchad__line_1,preobrazhenskaya_ploshchad,Преображенская площадь,Preobrazhenskaya Ploshchad,1,Сокольническая,Sokolnicheskaya,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
sokolniki__line_1,sokolniki,Сокольники,Sokolniki,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
krasnoselskaya__line_1,krasnoselskaya,Красносельская,Krasnoselskaya,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
komsomolskaya__line_1,komsomolskaya,Комсомольская,Komsomolskaya,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
krasnye_vorota__line_1,krasnye_vorota,Красные Ворота,Krasnye Vorota,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
chistye_prudy__line_1,chistye_prudy,Чистые пруды,Chistye Prudy,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
lubyanka__line_1,lubyanka,Лубянка,Lubyanka,1,Сокольническая,Sokolnicheskaya,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
okhotny_ryad__line_1,okhotny_ryad,Охотный Ряд,Okhotny Ryad,1,Сокольническая,Sokolnicheskaya,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
